Worker_ID	Gender	Education	Lang	Age	variable	value	polarity	politeness	complexity	item1	item2	item	list
A1LDN	Male	Bachelors degree	english	27	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A3R71	Female	Bachelors degree	English	52	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
AGXET	Female	Graduate degree (Masters, Doctorate, etc.)	English	34	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A17UB	Male	Bachelors degree	english	42	Neg_Low_Morph_Accurate_Inaccurate	6	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A171S	Male	Associates degree	english	31	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A2JWL	Male	Bachelors degree	ENGLISH	27	Neg_Low_Morph_Accurate_Inaccurate	7	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A2G4G	Male	Bachelors degree	ENGLISH	35	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1LR5	Female	Bachelors degree	english	53	Neg_Low_Morph_Accurate_Inaccurate	4	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
AVI7K	Female	High School Graduate	English	61	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
ADNSF	Male	Graduate degree (Masters, Doctorate, etc.)	English	45	Neg_Low_Morph_Accurate_Inaccurate	7	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A2VVI	Female	Bachelors degree	ENGLISH	70	Neg_Low_Morph_Accurate_Inaccurate	7	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
AYMTA	Male	Bachelors degree	English	27	Neg_Low_Morph_Accurate_Inaccurate	7	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A4OVC	Male	Some High School	English	35	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A2G7N	Male	Bachelors degree	English	32	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A23LW	Female	Bachelors degree	ENGLISH	30	Neg_Low_Morph_Accurate_Inaccurate	6	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A29VH	Female	Graduate degree (Masters, Doctorate, etc.)	english	22	Neg_Low_Morph_Accurate_Inaccurate	7	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A15SJ	Female	Some college, no degree	english	44	Neg_Low_Morph_Accurate_Inaccurate	7	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1SGE	Female	Bachelors degree	english	22	Neg_Low_Morph_Accurate_Inaccurate	5	Neg	Low	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
