Worker_ID	Gender	Education	Lang	Age	variable	value	polarity	person	politeness	complexity	item1	item2	item	list
A2XQ3	Female	Bachelors degree	english	55	Neg_High_F_Morph_Accurate_Inaccurate	5	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A2A0X	Male	Bachelors degree	English	51	Neg_High_F_Morph_Accurate_Inaccurate	6	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1L39	Male	Bachelors degree	English	35	Neg_High_F_Morph_Accurate_Inaccurate	6	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1DPS	Female	Associates degree	english	35	Neg_High_F_Morph_Accurate_Inaccurate	6	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1V2H	Male	Some college, no degree	English	59	Neg_High_F_Morph_Accurate_Inaccurate	4	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A21RP	Female	Associates degree	English	57	Neg_High_F_Morph_Accurate_Inaccurate	7	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A3NN2	Male	Some college, no degree	english	58	Neg_High_F_Morph_Accurate_Inaccurate	5	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A2KPT	Male	High School Graduate	English	43	Neg_High_F_Morph_Accurate_Inaccurate	6	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1L2N	Female	Associates degree	English	31	Neg_High_F_Morph_Accurate_Inaccurate	5	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A3U74	Male	High School Graduate	English	60	Neg_High_F_Morph_Accurate_Inaccurate	5	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1F5E	Female	Some college, no degree	english	47	Neg_High_F_Morph_Accurate_Inaccurate	7	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1JV6	Female	High School Graduate	english	40	Neg_High_F_Morph_Accurate_Inaccurate	6	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
AMDPJ	Female	Bachelors degree	English	38	Neg_High_F_Morph_Accurate_Inaccurate	7	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1US6	Male	Bachelors degree	English	34	Neg_High_F_Morph_Accurate_Inaccurate	5	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A25PF	Male	Bachelors degree	English	31	Neg_High_F_Morph_Accurate_Inaccurate	4	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A3N3G	Male	Some college, no degree	English	45	Neg_High_F_Morph_Accurate_Inaccurate	4	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1DS5	Male	Bachelors degree	English	41	Neg_High_F_Morph_Accurate_Inaccurate	4	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A20FT	Male	Associates degree	English	33	Neg_High_F_Morph_Accurate_Inaccurate	5	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1N2O	Female	Bachelors degree	English	30	Neg_High_F_Morph_Accurate_Inaccurate	6	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
AEIIV	Female	Bachelors degree	English	33	Neg_High_F_Morph_Accurate_Inaccurate	7	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1ZB2	Female	Bachelors degree	English	24	Neg_High_F_Morph_Accurate_Inaccurate	4	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1KQV	Female	High School Graduate	ENGLISH	33	Neg_High_F_Morph_Accurate_Inaccurate	7	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A1ZTS	Male	Graduate degree (Masters, Doctorate, etc.)	English	35	Neg_High_F_Morph_Accurate_Inaccurate	4	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
ARYVM	Female	Associates degree	English	22	Neg_High_F_Morph_Accurate_Inaccurate	4	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
A3U2U	Female	Bachelors degree	English	56	Neg_High_F_Morph_Accurate_Inaccurate	5	Neg	F	High	Morph	Accurate	Inaccurate	Accurate_Inaccurate	a
