"","predicate","N","response","bootsci_high","bootsci_low"
"1","above",27,0.19962962962963,0.302962962962963,0.112222222222222
"2","absolute",20,0.2315,0.3405,0.1345
"3","absurd",25,0.7128,0.794,0.6184
"4","abundant",15,0.543333333333333,0.692666666666667,0.390666666666667
"5","academic",21,0.280952380952381,0.385714285714286,0.187142857142857
"6","accurate",21,0.327619047619048,0.462869047619047,0.202857142857143
"7","actual",24,0.29625,0.397927083333333,0.203739583333333
"8","additional",19,0.439473684210526,0.558421052631579,0.325789473684211
"9","adequate",24,0.637083333333333,0.754583333333333,0.511666666666667
"10","administrative",26,0.249615384615385,0.347692307692308,0.160375
"11","adorable",17,0.905294117647059,0.950014705882353,0.842352941176471
"12","adult",20,0.338,0.4475,0.2315
"13","affluent",21,0.542857142857143,0.665738095238095,0.413809523809524
"14","affordable",19,0.852105263157895,0.902105263157895,0.800526315789474
"15","Afghan",41,0.180731707317073,0.262926829268293,0.108536585365854
"16","African",40,0.298,0.404,0.20024375
"17","aggressive",19,0.685789473684211,0.795263157894737,0.558947368421053
"18","agricultural",23,0.29,0.391304347826087,0.19304347826087
"19","alleged",25,0.474,0.6008,0.3476
"20","alternative",20,0.5255,0.626,0.4175
"21","amazing",18,0.813888888888889,0.877222222222222,0.742222222222222
"22","American",51,0.307058823529412,0.39,0.226274509803922
"23","amiable",19,0.570526315789474,0.690526315789474,0.440513157894737
"24","ancient",23,0.420434782608696,0.544347826086957,0.297391304347826
"25","annual",22,0.200909090909091,0.304545454545455,0.109090909090909
"26","another",15,0.355333333333333,0.517333333333333,0.201983333333333
"27","antique",24,0.435,0.54125,0.332916666666667
"28","appetizing",24,0.845,0.909177083333333,0.75875
"29","applicable",21,0.42952380952381,0.536190476190476,0.326190476190476
"30","appropriate",17,0.688235294117647,0.802352941176471,0.561764705882353
"31","Arabic",34,0.252941176470588,0.355588235294118,0.155580882352941
"32","Armenian",20,0.2395,0.3745,0.117
"33","armored",22,0.264090909090909,0.35775,0.179545454545455
"34","arrogant",24,0.685416666666667,0.788333333333333,0.56540625
"35","artificial",21,0.416666666666667,0.53047619047619,0.307142857142857
"36","Asian",40,0.2715,0.3645,0.18475
"37","asymmetrical",23,0.231739130434783,0.347391304347826,0.130434782608696
"38","athletic",22,0.479090909090909,0.597272727272727,0.367715909090909
"39","Australian",34,0.141176470588235,0.235588235294118,0.065
"40","authentic",26,0.625769230769231,0.716153846153846,0.532692307692308
"41","automatic",14,0.315,0.459285714285714,0.184982142857143
"42","available",25,0.3444,0.4516,0.2432
"43","average",12,0.586666666666667,0.721666666666667,0.44
"44","bad",26,0.72,0.801923076923077,0.626923076923077
"45","balanced",14,0.611428571428571,0.723571428571429,0.491410714285714
"46","Bangladeshi",20,0.168,0.2935,0.065
"47","basic",15,0.688,0.81,0.55865
"48","beautiful",24,0.8125,0.91,0.69375
"49","best",24,0.799583333333333,0.873333333333333,0.7175
"50","big",18,0.630555555555556,0.753333333333333,0.503888888888889
"51","biological",17,0.180588235294118,0.297661764705882,0.0811764705882353
"52","bipedal",22,0.248636363636364,0.379545454545455,0.129090909090909
"53","black",27,0.265185185185185,0.398527777777778,0.143703703703704
"54","bland",30,0.717666666666667,0.794333333333333,0.629
"55","blank",22,0.222727272727273,0.351363636363636,0.118181818181818
"56","bleary",21,0.59952380952381,0.685714285714286,0.511428571428571
"57","blind",26,0.251923076923077,0.352307692307692,0.160769230769231
"58","bloody",16,0.315625,0.42375,0.22125
"59","blue",21,0.336190476190476,0.473345238095238,0.20522619047619
"60","brave",28,0.68,0.737857142857143,0.62
"61","breathtaking",23,0.719130434782609,0.83304347826087,0.59
"62","brief",26,0.549230769230769,0.649230769230769,0.444230769230769
